drug_no,name,source_link,type
VN-9643-10,Harnal Ocas,dav.gov.vn,drug
VN-9643-10,Harnal Ocas,dav.gov.vn,drug
VD- 12522 - 10,Hazidol,dav.gov.vn,drug
VD- 11911 - 10,Dorodipin,dav.gov.vn,drug
"VD-4060,4061-07",Dorosur,dav.gov.vn,drug
,Dorotril,dav.gov.vn,drug
,Dorotril,dav.gov.vn,drug
VD-6509-08,Dorotril-H,dav.gov.vn,drug
VN-10447-10,Drofen,dav.gov.vn,drug
VN - 7302 - 08,Drosperin,dav.gov.vn,drug
VN - 7302 - 08,Drosperin,dav.gov.vn,drug
VN-7845-09,Duac Once Daily Gel,dav.gov.vn,drug
VN-10748-10,Dung d̃ch thẩm phân màng bụng Danieal Low Calcium 1.5% dextrose,dav.gov.vn,drug
VN-10749-10,Dung d̃ch thẩm phân màng bụng Danieal Low Calcium 2.5% dextrose,dav.gov.vn,drug
VN-10750-10,Dung d̃ch thẩm phân màng bụng Danieal Low Calcium 4.25% dextrose,dav.gov.vn,drug
VN-12829-11,Duphalac,dav.gov.vn,drug
VN-12829-11,Duphalac,dav.gov.vn,drug
VN-12829-11,Duphalac,dav.gov.vn,drug
VN - 1535 - 06,Duphalac,dav.gov.vn,drug
VN - 1535 - 06,Duphalac,dav.gov.vn,drug
VN-12830-11,Duphaston,dav.gov.vn,drug
VN-12830-11,Duphaston,dav.gov.vn,drug
VN-12830-11,Duphaston,dav.gov.vn,drug
VN-1536-06,Duphaston,dav.gov.vn,drug
VN-1536-06,Duphaston,dav.gov.vn,drug
VN-5602-10,Duramont,dav.gov.vn,drug
VN-9461-10,Dysport,dav.gov.vn,drug
VN-11860-11,Eagle Brand Medicated Oil,dav.gov.vn,drug
VD-10916-10,Ecaxan,dav.gov.vn,drug
VN-10173-10,Ecee 2,dav.gov.vn,drug
VN-8704-09,Ednyt,dav.gov.vn,drug
VN-8704-09,Ednyt,dav.gov.vn,drug
"VD-13295,13296-10","Edosic 200, 400",dav.gov.vn,drug
"VN-9193-09, VN-5344-10, VN-5345-10",Efferalgan găi bột uống,dav.gov.vn,drug
"VN-9193-09, VN-5344-10, VN-5345-10",Efferalgan găi bột uống,dav.gov.vn,drug
"VN-9193-09, VN-5344-10, VN-5345-10",Efferalgan găi bột uống,dav.gov.vn,drug
"VN-9193-09, VN-5344-10, VN-5345-10",Efferalgan găi bột uống,dav.gov.vn,drug
"VN-9193-09, VN-5344-10, VN-5345-10",Efferalgan găi bột uống,dav.gov.vn,drug
"VN-12418-11, VN-12419-11",Efferalgan viên đạn,dav.gov.vn,drug
"VN-12418-11, VN-12419-11",Efferalgan viên đạn,dav.gov.vn,drug
"VN-12418-11, VN-12419-11",Efferalgan viên đạn,dav.gov.vn,drug
"VN-12418-11, VN-12419-11",Efferalgan viên đạn,dav.gov.vn,drug
"VN-12418-11, VN-12419-11",Efferalgan viên đạn,dav.gov.vn,drug
VD-3388-07,Efticol,dav.gov.vn,drug
VD-14920-11,Eftigati,dav.gov.vn,drug
VD-14921-11,Eftihepa,dav.gov.vn,drug
"VD-8463-09, VN-8462-09",Eftimol,dav.gov.vn,drug
VD-13297-10,Eftimoxin,dav.gov.vn,drug
"VD-13743-11, VD-14209-11",Eftirosu,dav.gov.vn,drug
VD-12189-10,Eftisucral,dav.gov.vn,drug
VN-6221-08,Elitan,dav.gov.vn,drug
"VN-12644-11, VN-12645-11",Eloxatin (Mẫu 1),dav.gov.vn,drug
"VN-12644-11, VN-12645-11",Eloxatin (Mẫu 2),dav.gov.vn,drug
"VD-5381, 5382-08, 10007-10",Hazin,dav.gov.vn,drug
VD-1795-06,Hộ tâm đơn,dav.gov.vn,drug
"QLVX-0051-08, 0026-07",Heberbiovac HB,dav.gov.vn,drug
VN-11244-10,Hebidy,dav.gov.vn,drug
VN-9631-10,HemoQ Mom,dav.gov.vn,drug
V1491-H12-10,Hepacap,dav.gov.vn,drug
VD- 5027 - 08,Hepalong,dav.gov.vn,drug
VN-5286-08,Hepa-World,dav.gov.vn,drug
VN-5391-10,Hepedon,dav.gov.vn,drug
VN-1327-11,Hidrasec,dav.gov.vn,drug
"VN-1326,1327-11,",Hidrasec,dav.gov.vn,drug
VN-5343-10,Hirudoid kem bôI da,dav.gov.vn,drug
VD - 9939-10,Ho hen PQA,dav.gov.vn,drug
VD-9939-10,"Ho Hen PQA (Mẫu 15"")",dav.gov.vn,drug
VD-9939-10,"Ho Hen PQA (Mẫu 30"")",dav.gov.vn,drug
VD-9939-10,"Ho Hen PQA (Mẫu 5"")",dav.gov.vn,drug
V1562-H12-10,Hoạt huyƠt nhất nhất,dav.gov.vn,drug
VN-5257-10,Hoa đà tái tạo hoàn,dav.gov.vn,drug
VN-5257-10,"Hoa đà tái tạo hoàn (Mẫu 15"")",dav.gov.vn,drug
VN-5257-10,"Hoa đà tái tạo hoàn (Mẫu 30"")",dav.gov.vn,drug
VD-11070-10,HoAstex,dav.gov.vn,drug
VD-10796-10,Homtamin ginseng gold,dav.gov.vn,drug
VD-10796-10,Homtamin ginseng gold,dav.gov.vn,drug
VN-5130-10,Hopsexa,dav.gov.vn,drug
VN-11016-10,Hospizoll,dav.gov.vn,drug
V1236-H12-10,HP Max (mẫu 1),dav.gov.vn,drug
V1236-H12-10,HP Max (mẫu 2),dav.gov.vn,drug
VN-4678-07,Huotasim,dav.gov.vn,drug
VN-8236-09,Hurmat,dav.gov.vn,drug
VN-11857-11,Hyalgan,dav.gov.vn,drug
VN-11857-11,Hyalgan,dav.gov.vn,drug
VN-11857-11,Hyalgan,dav.gov.vn,drug
VN-11857-11,Hyalgan,dav.gov.vn,drug
VN-11857-11,Hyalgan,dav.gov.vn,drug
VD- 7726 - 09; VD- 7727 - 09,Hypertel,dav.gov.vn,drug
VN-3099-07,Hyzaar,dav.gov.vn,drug
VD-13432-10,Imetoxim 1g,dav.gov.vn,drug
"VD-13434-10, VD-13435-10, VD-13436-10, VD-12860-10",Imexime,dav.gov.vn,drug
VD- 13827 - 11,Imezidim,dav.gov.vn,drug
VD- 15289 - 11,Imidu 60 mg,dav.gov.vn,drug
VN-11119-10,Imodium,dav.gov.vn,drug
VN1-504-11,Impaza,dav.gov.vn,drug
VN-11957-11,Incros,dav.gov.vn,drug
VN-11957-11,Incros,dav.gov.vn,drug
VN-12548-11,Indocollyre,dav.gov.vn,drug
QLVX - 0029 - 08,Influvac,dav.gov.vn,drug
VN-10074-10,Inimur complex 500,dav.gov.vn,drug
VN-14170-11,Intaxel 30mg/5ml & 100mg/17ml,dav.gov.vn,drug
VN-8831-09,Invanz,dav.gov.vn,drug
VN-8831-09,Invanz,dav.gov.vn,drug
VD-11224-10,Dacodex,dav.gov.vn,drug
VN-2964-07,Daewoong URSA-S,dav.gov.vn,drug
VN-2964-07,Daewoong URSA-S,dav.gov.vn,drug
VN-2964-07,Daewoong URSA-S,dav.gov.vn,drug
VN-11488-10,Dafendol,dav.gov.vn,drug
VN-3072-07,Daflon,dav.gov.vn,drug
VN-3072-07,Daflon,dav.gov.vn,drug
VN-3072-07,Daflon,dav.gov.vn,drug
VD-11720-10,Daflumex,dav.gov.vn,drug
VS-4724-10,Dailycare,dav.gov.vn,drug
VD-2800-07,Daiticol,dav.gov.vn,drug
VN-11666-10,Daivobet,dav.gov.vn,drug
VN-5122-07,Damfull,dav.gov.vn,drug
QLĐB-221-10,Dark,dav.gov.vn,drug
VD-6680-09,Davita Bone,dav.gov.vn,drug
VD-6680-09,Davita Bone,dav.gov.vn,drug
VD-6680-09,Davita Bone,dav.gov.vn,drug
"VD-10506, 10509, 10510, 10511-10",Davon C,dav.gov.vn,drug
VD-10188-10,DAYGRA 50,dav.gov.vn,drug
VD-11036-10,DAYGRA 50,dav.gov.vn,drug
VD-10715-10,Dầu trắng hiệu Cây Búa,dav.gov.vn,drug
VN-11313-10,DĐpakine 200mg/ml (Mẫu 1),dav.gov.vn,drug
VN-11313-10,DĐpakine 200mg/ml (Mẫu 2),dav.gov.vn,drug
VN-11313-10,DĐpakine 200mg/ml (Mẫu 3),dav.gov.vn,drug
VN-11313-10,DĐpakine 200mg/ml (Mẫu 4),dav.gov.vn,drug
VN-10349-10,Decan,dav.gov.vn,drug
VD-9164-09,Decolgen Forte,dav.gov.vn,drug
VD-5404-08,Decolic,dav.gov.vn,drug
VD-14918-11,Decolic F,dav.gov.vn,drug
VN - 10083 - 10,Denazox,dav.gov.vn,drug
VN-9862-10,Dentihy,dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine (Mẫu 1),dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine (Mẫu 2),dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine (Mẫu 3),dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine (Mẫu 4),dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine Chrono (Mẫu 1),dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine Chrono (Mẫu 2),dav.gov.vn,drug
"VN-4095-07, VN-5087-07, VN-7828-09, VN-11313-10",Depakine Chrono (Mẫu 3),dav.gov.vn,drug
"VN-4095-07, VN-5078-07, VN-7828-09, VN-11313-10",Depakine Chrono (Mẫu 4),dav.gov.vn,drug
VN-7828-09,Depakine syrup (Mẫu 1),dav.gov.vn,drug
VN-7828-09,Depakine syrup (Mẫu 2),dav.gov.vn,drug
VN-7828-09,Depakine syrup (Mẫu 3),dav.gov.vn,drug
VN-7828-09,Depakine syrup (Mẫu 4),dav.gov.vn,drug
VN - 7185 - 08,Dermovate cream,dav.gov.vn,drug
VN-5386-10,Dezendin,dav.gov.vn,drug
VN-12558-11,Diamicron MR,dav.gov.vn,drug
VN-12558-11,Diamicron MR,dav.gov.vn,drug
VD-15572-11,Di-Ansel,dav.gov.vn,drug
VD-15572-11,Di-Ansel (Khổ A4),dav.gov.vn,drug
VD-15572-11,Di-Ansel (Khổ A5),dav.gov.vn,drug
VN-12303-11,Fibsol,dav.gov.vn,drug
VN-5002-07,Fitneal,dav.gov.vn,drug
VN-5002-07,Fitneal,dav.gov.vn,drug
VN-5002-07,Fitneal,dav.gov.vn,drug
VN-5002-07,Fitneal,dav.gov.vn,drug
VN - 11247 - 10,Fixime,dav.gov.vn,drug
VD-9885-09,Flagyl 250mg (Mẫu 1),dav.gov.vn,drug
VD-9885-09,Flagyl 250mg (Mẫu 2),dav.gov.vn,drug
VN - 4461 - 07,Flixotide Evohaler,dav.gov.vn,drug
VN-10522-10,Flotral,dav.gov.vn,drug
VN-13266-11,Flucomedil,dav.gov.vn,drug
VN-10859-10,Fluconazole,dav.gov.vn,drug
VD-4604-07,Fluofar,dav.gov.vn,drug
VN-4911-07,Fluomizin,dav.gov.vn,drug
VN-4911-07,Fluomizin,dav.gov.vn,drug
VN-4911-07,Fluomizin,dav.gov.vn,drug
VD-11008-10,Folicfer,dav.gov.vn,drug
VN-9550-10,Folihem,dav.gov.vn,drug
VN-1833-06,Foncitril 4000,dav.gov.vn,drug
VD-5462-08,Forcimax,dav.gov.vn,drug
VN-3848-07,Forlax,dav.gov.vn,drug
VD- 3713 - 07,Fortec,dav.gov.vn,drug
V581H12-10,Forvim - Ngân kỉu giải độc Xuân Quang,dav.gov.vn,drug
VN-7270-08,Fosamax Plus,dav.gov.vn,drug
VN-7270-08,Fosamax Plus Tablet,dav.gov.vn,drug
VN-10854-10,Fotalcix,dav.gov.vn,drug
VD-12604-10,Frazix,dav.gov.vn,drug
VD-10535-10,Freamiz 100,dav.gov.vn,drug
VN-7158-08,Fresofol,dav.gov.vn,drug
VN-11012-10,Frixitas,dav.gov.vn,drug
VD-13480-10,Fudkid,dav.gov.vn,drug
VD-14365-11,Fudtamin 1.500 mg,dav.gov.vn,drug
"VD-9514, 9515-09","Fudtidas 250mg, 500mg",dav.gov.vn,drug
VN-5616-08,Fugacar,dav.gov.vn,drug
VN-3663-07,Fugacar,dav.gov.vn,drug
Vn-11118-10,"Fugacar (Mẫu 15"")",dav.gov.vn,drug
VN-5616-08,Fugacar (Mẫu 15'),dav.gov.vn,drug
VN-3663-07,Fugacar (Mẫu 30'),dav.gov.vn,drug
VN-11118-10,Fugacar (Mẫu ngang),dav.gov.vn,drug
VD-12351-10,Fumafer B9 Corbiere Daily use (Mẫu 1),dav.gov.vn,drug
VD-12351-10,Fumafer B9 Corbiere Daily use (Mẫu 2),dav.gov.vn,drug
VD-12351-10,Fumafer B9 Corbiere Daily use (Mẫu 3),dav.gov.vn,drug
VD-12351-10,Fumafer B9 Corbiere Daily use (Mẫu 4),dav.gov.vn,drug
VD-12351-10,Fumafer B9 Corbiere daily use (Mẫu 5),dav.gov.vn,drug
VD- 11140 - 10,Fumafer B9 Corbiere Kids,dav.gov.vn,drug
VD-11671-10,Fumethy 25mg,dav.gov.vn,drug
VD-13359-10,Furacin 500,dav.gov.vn,drug
VN-9510-10,Furect I.V,dav.gov.vn,drug
VD- 14009 - 11,Furosemide Stada,dav.gov.vn,drug
VN -1-444-11,Galvus,dav.gov.vn,drug
VN-5814-08,Cefuroxime,dav.gov.vn,drug
VN - 1334 - 06,CellartNatase,dav.gov.vn,drug
VN-9244-09,Cốm lạc mạch,dav.gov.vn,drug
NC31-H04-12,Cốm trẻ việt,dav.gov.vn,drug
VN-8200-09,Cốm tr̃ ngáy hồng thảo,dav.gov.vn,drug
VD-13170 - 10,Ceminox,dav.gov.vn,drug
VD-8461-09,Centhionin,dav.gov.vn,drug
VD-11083-10,Centovit Women,dav.gov.vn,drug
VD-13449-10,Cepemid,dav.gov.vn,drug
VD-11863-10,Cepoxitil,dav.gov.vn,drug
VN-2976-07,Cerebrolysin,dav.gov.vn,drug
VN-2976-07,Cerebrolysin,dav.gov.vn,drug
VD-5023-08,Cerelox,dav.gov.vn,drug
VN-11683-11,Cerviprime,dav.gov.vn,drug
VN - 11683 - 11,Cerviprime,dav.gov.vn,drug
V1271-H12-10,Cốt linh diệu,dav.gov.vn,drug
VN-7938-09,Cezil,dav.gov.vn,drug
VN-7938-09,Cezil,dav.gov.vn,drug
VD-9319-09,Cezil Cough,dav.gov.vn,drug
VD-10074-10,Cezil D,dav.gov.vn,drug
VD-11511-10,Cezil Fast,dav.gov.vn,drug
VD-14237-11,Cezil Kid,dav.gov.vn,drug
VN1-386-10,Champix,dav.gov.vn,drug
VN-9814-10,Chericof Cough Formula,dav.gov.vn,drug
VN-6790-08,Chericof Softgels,dav.gov.vn,drug
VN-8766-09,Children s Tylenol (mẫu dọc),dav.gov.vn,drug
VN-8766-09,Children s Tylenol (mẫu ngang),dav.gov.vn,drug
VD-14158-11,Chướng nhãn minh,dav.gov.vn,drug
VN-12139-11,Chirocaine,dav.gov.vn,drug
V1157-H12-10,ChƯnh KhƯ - KG,dav.gov.vn,drug
VD-9571-09,Ciatic 20,dav.gov.vn,drug
"VN-11961-11, VN-11962-11, VN-11963-11",Cilzec,dav.gov.vn,drug
"VN-11961-11, VN-11962-11, VN-11963-11",Cilzec,dav.gov.vn,drug
VN-14008-11,Ciprobay,dav.gov.vn,drug
VN-14009-11,Ciprobay,dav.gov.vn,drug
VN-10158-10,Cirab,dav.gov.vn,drug
VD-10821-10,Circuton,dav.gov.vn,drug
,Citopam,dav.gov.vn,drug
"VN-10381,10382-10",Clarithromycin Savi,dav.gov.vn,drug
VN-12508-11,Cleron 250,dav.gov.vn,drug
VN-5111-10,Clopida,dav.gov.vn,drug
VN-9605-10,Clopimed,dav.gov.vn,drug
VN-5085-07,Co- Aprovel,dav.gov.vn,drug
VN-5082,Co- Aprovel,dav.gov.vn,drug
,CoAprovel,dav.gov.vn,drug
"VN-7344-08, VN-5084-07, VN-5085-07",CoAprovel (Mẫu 1),dav.gov.vn,drug
"VN-7344-08, VN-5084-07, VN-5085-07",CoAprovel (Mẫu 2),dav.gov.vn,drug
V360-H12-10,Codcerin,dav.gov.vn,drug
VD-11713-10,Codcerin - D,dav.gov.vn,drug
VD-11714-10,Codcerin - E,dav.gov.vn,drug
VN-10764-10,Dicloberl,dav.gov.vn,drug
VN-12500-11,Difflam Forte,dav.gov.vn,drug
VD-10923-10,Dứng tâm an thần,dav.gov.vn,drug
VD-10924-10,Diệp hạ châu,dav.gov.vn,drug
"VN-7770, 7768-09",Diovan,dav.gov.vn,drug
"VN-7770, 7768-09",Diovan,dav.gov.vn,drug
"VN-7770, 7768-09",Diovan,dav.gov.vn,drug
,Diphereline,dav.gov.vn,drug
,Diphereline,dav.gov.vn,drug
,Diphereline,dav.gov.vn,drug
,Diphereline,dav.gov.vn,drug
VN - 6897 - 08,Diprivan,dav.gov.vn,drug
Vn - 6897 - 08,Diprivan,dav.gov.vn,drug
VD-14208-11,Diserti,dav.gov.vn,drug
VN-2392-06,Disgren,dav.gov.vn,drug
QLĐB-222-10,Divara,dav.gov.vn,drug
VD-9721-09,Docifix 100mg,dav.gov.vn,drug
VD-11371-10,Dofenal,dav.gov.vn,drug
VD-8255-09,Dogarlic-Trà xanh (mẫu 1),dav.gov.vn,drug
VD-8255-09,Dogarlic-Trà xanh (mẫu 2),dav.gov.vn,drug
VD- 11139 - 10,Doliprane,dav.gov.vn,drug
VD-11139 - 10,Doliprane,dav.gov.vn,drug
VD-11139-10,Doliprane,dav.gov.vn,drug
VD-11139-10,Doliprane,dav.gov.vn,drug
VD-11139-10,Doliprane,dav.gov.vn,drug
VD- 11139 - 10,Doliprane,dav.gov.vn,drug
VD- 12041 - 10,Dolirhume,dav.gov.vn,drug
VD- 12041 - 10,Dolirhume,dav.gov.vn,drug
VD- 12041 - 10,Dolirhume,dav.gov.vn,drug
VD- 12041 - 10,Dolirhume,dav.gov.vn,drug
VD- 11139 - 10,Dolirhume,dav.gov.vn,drug
VD- 12041 - 10,Dolirhume,dav.gov.vn,drug
VN-7268-08,Doloneurobion,dav.gov.vn,drug
VN-7268-08,Doloneurobion,dav.gov.vn,drug
VN-9343-09,Domale,dav.gov.vn,drug
VD-11273-10,Domepa,dav.gov.vn,drug
VD-9723-09,Domeric,dav.gov.vn,drug
VD-9723-09,Domeric,dav.gov.vn,drug
VN-9819-10,Domne Suspension,dav.gov.vn,drug
VN - 5162 - 10,Domreme,dav.gov.vn,drug
VD-- 9688 - 09,Doncef,dav.gov.vn,drug
"VD-14004-11, VN-15046-11",Donox,dav.gov.vn,drug
VD-1314-10,Dopolys,dav.gov.vn,drug
VN-6196-08,Doribax,dav.gov.vn,drug
VN-13741-11,Doribax (Mẫu 2 trang),dav.gov.vn,drug
VN-13741-11,Doribax (Mẫu 4 trang),dav.gov.vn,drug
"VD-14005-11, VD-14006-11",Dorobay,dav.gov.vn,drug
VD- 9729 - 09,Dorocron - MR,dav.gov.vn,drug
,Dorocron - MR,dav.gov.vn,drug
VD-14007-11,Dorocta,dav.gov.vn,drug
VD-11343-10,Metmen,dav.gov.vn,drug
VN-5598-08,Metohexal 100,dav.gov.vn,drug
"VN-10933, 10934-10",Mexopem GP,dav.gov.vn,drug
"VN-10934-10, VN-10933-10",MexopemGP,dav.gov.vn,drug
VD-6050-08,Ḿ xoa băp nọc rắn Hồng Linh Cốt,dav.gov.vn,drug
VN-10628-10,Miarotin,dav.gov.vn,drug
"VN-5023, 5024-10",Micadis,dav.gov.vn,drug
"VN-5023,5024-10",Micadis,dav.gov.vn,drug
"VN-5862, 5863-08",Micadis plus,dav.gov.vn,drug
,Micardis,dav.gov.vn,drug
"VN-5023, 5024-10; VN-5862, 5863-08",Micardis,dav.gov.vn,drug
"VN-5023,5024-10",Micardis,dav.gov.vn,drug
"VN-5023,5024-10",Micardis,dav.gov.vn,drug
"VN-5862, 5863-08",Micardis Plus,dav.gov.vn,drug
,Micardis Plus,dav.gov.vn,drug
"VN-5862-08,VN-7478-09",Micardis Plus,dav.gov.vn,drug
VN-7263-08,Micomedil,dav.gov.vn,drug
"VN-4482-07, VN-4483-07","Microclismi 3g, 9g",dav.gov.vn,drug
VN-5373-08,Mikalogis,dav.gov.vn,drug
VD-1571-06,Minafort,dav.gov.vn,drug
QLĐB-247-11,Mindchange,dav.gov.vn,drug
VN83-97-09,Minirin,dav.gov.vn,drug
VN-9883-10,Minndrop,dav.gov.vn,drug
VD-14555-11,Mirastad,dav.gov.vn,drug
,Mirtaz,dav.gov.vn,drug
,Mirtaz,dav.gov.vn,drug
VN - 9020 - 09,Mirteva 30mg,dav.gov.vn,drug
VN-11010-10,Mistard 30 Flex pen,dav.gov.vn,drug
VN-5222-08,Mobic,dav.gov.vn,drug
VN-6453-08,Mobic tiêm,dav.gov.vn,drug
"VN-5222-08, VN-5221-08",Mobic viên nĐn,dav.gov.vn,drug
VD-6556-08,Moriamin Forte,dav.gov.vn,drug
VN-12514-11,Motilium M,dav.gov.vn,drug
VN-12514-11,Motilium M,dav.gov.vn,drug
VN-12511-11,Motilium M,dav.gov.vn,drug
VN-12414-11,"Motilium M (Mẫu 15"")",dav.gov.vn,drug
VN-12514-11,Motilium-M,dav.gov.vn,drug
VD-12514-11,Motilium-M,dav.gov.vn,drug
"VN-10225, 10226-10",Movepain,dav.gov.vn,drug
VD-15104-11,Mucokapp,dav.gov.vn,drug
VN-5219-08,Mucosolvan,dav.gov.vn,drug
VN-5219-08,Mucosolvan,dav.gov.vn,drug
VN-5219-08,Mucosolvan (Mẫu 1),dav.gov.vn,drug
VN-5219-08,Mucosolvan (Mẫu 2),dav.gov.vn,drug
VN - 12336 - 11,Mucosta,dav.gov.vn,drug
VN-5219-08,Muscosolvan,dav.gov.vn,drug
VD- 11887 - 10,MyPara ER,dav.gov.vn,drug
VD-0799-06,Nữ phụng tiên,dav.gov.vn,drug
VD-8493-09,Nabee gold,dav.gov.vn,drug
VN - 9089 - 09,Naclomid,dav.gov.vn,drug
VN-8831-09,Invanz,dav.gov.vn,drug
VN-12853-11,Iressa,dav.gov.vn,drug
VN-12853-11,Iressa,dav.gov.vn,drug
VN-8679-09,Irvell,dav.gov.vn,drug
VD- 12621 - 10,ISMN Stada,dav.gov.vn,drug
VN-1857-06,Isomonit 60mg Retard,dav.gov.vn,drug
VN-6811-08,Ivepred 500,dav.gov.vn,drug
VD-11485-11,Ivermectin,dav.gov.vn,drug
"VN1-410,411,412-11",Januvia,dav.gov.vn,drug
VN1-410-11,Januvia,dav.gov.vn,drug
VD-14490-11,Kalecin,dav.gov.vn,drug
VD-9847-09,"Kaltatri 0,5",dav.gov.vn,drug
VD-7782-09,Kem nghệ Bảo Phu Khang,dav.gov.vn,drug
VN-5657-08,Kemivir,dav.gov.vn,drug
VN-4443-07,Ketosteril,dav.gov.vn,drug
,Kid - Plus,dav.gov.vn,drug
VD- 5244 - 08,Kidviton,dav.gov.vn,drug
"VD-13815,13816-11",Kidz Kream,dav.gov.vn,drug
GC-0101-10,Kim,dav.gov.vn,drug
VD-3257-07,Kim ngân vạn ứng,dav.gov.vn,drug
VD-3257-07,Kim ngân vạn ứng,dav.gov.vn,drug
VD-0524-06 (Gia hạn hƠt 31/12/2011),Kim Tỉn Thảo,dav.gov.vn,drug
VD-0524-06 (Gia hạn hƠt 31/12/2011),Kim Tỉn Thảo,dav.gov.vn,drug
VD-11521-10,Kingdomin,dav.gov.vn,drug
VD-10099-10,Kingdomin Vita C,dav.gov.vn,drug
VD-10985-10,Kingloba,dav.gov.vn,drug
VD-10985-10,Kingloba,dav.gov.vn,drug
VN-12136-11,Klacid,dav.gov.vn,drug
VN-12136-11,Klacid,dav.gov.vn,drug
VN-9913-10,Klacid MR,dav.gov.vn,drug
VN-9913-10,Klacid MR,dav.gov.vn,drug
VN-9913-10,Klacid MR,dav.gov.vn,drug
VN-5695-08,Klavunamox 625mg Film Tablet,dav.gov.vn,drug
VN-5696-08,Klavunamox Bid 400/57mg Suspension,dav.gov.vn,drug
VN-5698-08,Klavunamox-Bid 1g,dav.gov.vn,drug
VN-9233-09,Klenzit MS,dav.gov.vn,drug
VN-4997-07,KolonDuonase,dav.gov.vn,drug
VN-5451-10,Kolonflavone,dav.gov.vn,drug
VN-11925-11,Kotase,dav.gov.vn,drug
VD-11373-10,Kremin gel,dav.gov.vn,drug
"VN-9227, 9228-09",Lacipil,dav.gov.vn,drug
VD- 1991 - 06,Lactacyd FH,dav.gov.vn,drug
VN-11217-10,Lamisil once,dav.gov.vn,drug
VN-11217-10,Lamisil once,dav.gov.vn,drug
VN-11217-10,Lamisil once,dav.gov.vn,drug
VN-9371-09,Lantus SoloStar,dav.gov.vn,drug
VN - 9371 - 09,Lantus Solostar,dav.gov.vn,drug
VN-9371-09,Lantus SoloStar,dav.gov.vn,drug
VD-14922-11,Larevir 150,dav.gov.vn,drug
VN-4406-07,Legalon 70 Protect Madus,dav.gov.vn,drug
VN-5737-10,An Thần Ninh,dav.gov.vn,drug
VN1-502-11,Anaferon,dav.gov.vn,drug
VN1-503-11,Anaferon for children,dav.gov.vn,drug
VD-5538-08,Ancid Pepermint,dav.gov.vn,drug
VN-9336-09,Angelig,dav.gov.vn,drug
VN-9436-09,Angelig,dav.gov.vn,drug
VD- 1799 - 06,Antiheb,dav.gov.vn,drug
VD-5015-08,Anyfen - 300mg,dav.gov.vn,drug
VN-12309-11,Anzatax,dav.gov.vn,drug
VN-10897-10,Anzela,dav.gov.vn,drug
VN-10897-10,Anzela,dav.gov.vn,drug
VD- 10861 - 10,Apharcool,dav.gov.vn,drug
VN-10557-10,Apidra SoloStar,dav.gov.vn,drug
VN-10557-10,Apidra SoloStar,dav.gov.vn,drug
VN - 10557 - 10,Apidra SoloStar,dav.gov.vn,drug
VN-5082-07,Aprovel,dav.gov.vn,drug
,Aprovel,dav.gov.vn,drug
VN-5082-07,Aprovel,dav.gov.vn,drug
VN-5082-07,Aprovel,dav.gov.vn,drug
"VN-5082-07, VN-5083-07",Aprovel (mẫu 1),dav.gov.vn,drug
"VN-5082-07, VN-5083-07",Aprovel (Mẫu 2),dav.gov.vn,drug
"VN-5082-07, VN-5083-07",Aprovel (mẫu 3),dav.gov.vn,drug
VN-3076-07,Arcalion,dav.gov.vn,drug
VN-3076-07,Arcalion,dav.gov.vn,drug
"VN-10410,11,12,13-10",Arcoxia,dav.gov.vn,drug
"VN-10410, 10410,10411, 10412, 10413-10",Arcoxia,dav.gov.vn,drug
VN-10410-10,Arcoxia,dav.gov.vn,drug
"VN-10410,10411,10412,10413-10",Arcoxia,dav.gov.vn,drug
VN1-268-10,Arezol,dav.gov.vn,drug
VN-10735-10,Arimidex,dav.gov.vn,drug
VN-10735-10,Arimidex,dav.gov.vn,drug
VN-10735-10,Arimidex,dav.gov.vn,drug
VN-10735-10,Arimidex,dav.gov.vn,drug
VN-3993-07,Arixtra,dav.gov.vn,drug
VN-3993-07,Arixtra,dav.gov.vn,drug
VN - 3993 - 07,Arixtra,dav.gov.vn,drug
VN - 3993 - 07,Arixtra,dav.gov.vn,drug
VN - 3993 - 07,Arixtra,dav.gov.vn,drug
VN-2903-07,Arthocerin,dav.gov.vn,drug
VD-5932-08,Arthrivit forte,dav.gov.vn,drug
VD-13832-11,Arthromin,dav.gov.vn,drug
VN-11017-10,Artrodar,dav.gov.vn,drug
VN-11017-10,Artrodar,dav.gov.vn,drug
VN-11017-10,Artrodar,dav.gov.vn,drug
VD-9636-09,Asakoya,dav.gov.vn,drug
VD-3497-07,Aspirin MKP 81,dav.gov.vn,drug
VD-0140-06,Aspirin pH8,dav.gov.vn,drug
VD-12617-10,Aspirin Stada 81mg,dav.gov.vn,drug
"VD-12619-10, VD-12618-10",Atenolol STADA,dav.gov.vn,drug
VN-8273-09,Atorvastatin Winthrop,dav.gov.vn,drug
VN-11058-10,Panaflex,dav.gov.vn,drug
